date,theme,sentiment,comment_count
2024-09-12,other,neutral,11
2024-09-12,other,positive,1
2024-09-12,product_ux,neutral,1
2024-09-12,support,neutral,1
2024-09-12,win_loss_emotion,neutral,2
2024-09-13,other,neutral,15
2024-09-13,product_ux,neutral,1
2024-09-14,other,neutral,24
2024-09-14,win_loss_emotion,neutral,1
2024-09-15,other,neutral,19
2024-09-15,product_ux,neutral,1
2024-09-15,win_loss_emotion,neutral,2
2024-09-16,other,neutral,17
2024-09-16,other,positive,1
2024-09-16,promos_bonuses,neutral,1
2024-09-16,win_loss_emotion,neutral,4
2024-09-17,other,neutral,14
2024-09-17,other,positive,1
2024-09-17,product_ux,neutral,1
2024-09-17,win_loss_emotion,neutral,3
2024-09-18,other,neutral,28
2024-09-18,product_ux,neutral,3
2024-09-18,win_loss_emotion,neutral,3
2024-09-19,other,neutral,28
2024-09-19,product_ux,neutral,5
2024-09-19,promos_bonuses,neutral,1
2024-09-19,promos_bonuses,positive,1
2024-09-19,win_loss_emotion,neutral,1
2024-09-20,other,neutral,18
2024-09-20,other,positive,1
2024-09-20,product_ux,neutral,2
2024-09-20,win_loss_emotion,neutral,4
2024-09-21,other,neutral,35
2024-09-21,other,positive,4
2024-09-21,product_ux,neutral,1
2024-09-21,win_loss_emotion,neutral,1
2024-09-22,other,neutral,22
2024-09-22,product_ux,neutral,1
2024-09-22,trust_payouts,negative,1
2024-09-22,win_loss_emotion,neutral,2
2024-09-23,other,neutral,28
2024-09-23,other,positive,1
2024-09-23,product_ux,neutral,2
2024-09-23,win_loss_emotion,neutral,3
2024-09-24,other,neutral,21
2024-09-24,other,positive,2
2024-09-24,product_ux,neutral,1
2024-09-25,other,neutral,14
2024-09-25,product_ux,neutral,1
2024-09-25,win_loss_emotion,neutral,1
2024-09-26,other,neutral,8
2024-09-26,other,positive,1
2024-09-26,win_loss_emotion,neutral,1
2024-09-27,other,neutral,15
2024-09-27,product_ux,neutral,2
2024-09-27,win_loss_emotion,neutral,1
2024-09-28,other,neutral,9
2024-09-29,other,neutral,5
2024-09-30,other,neutral,6
2024-09-30,other,positive,1
2024-09-30,win_loss_emotion,neutral,2
2024-10-01,other,neutral,4
2024-10-01,win_loss_emotion,neutral,1
2024-10-02,other,neutral,1
2024-10-03,other,neutral,4
2024-10-04,other,neutral,2
2024-10-04,other,positive,1
2024-10-05,other,neutral,1
2024-10-05,product_ux,neutral,1
2024-10-05,promos_bonuses,neutral,1
2024-10-05,trust_payouts,neutral,1
2024-10-06,other,neutral,4
2024-10-06,win_loss_emotion,neutral,1
2024-10-07,other,neutral,2
2024-10-07,promos_bonuses,neutral,1
2024-10-08,other,neutral,1
2024-10-08,other,positive,1
2024-10-08,win_loss_emotion,neutral,1
2024-10-09,other,neutral,1
2024-10-09,other,positive,1
2024-10-10,other,neutral,1
2024-10-10,win_loss_emotion,neutral,1
2024-10-11,other,neutral,3
2024-10-11,other,positive,1
2024-10-12,other,neutral,1
2024-10-13,other,positive,1
2024-10-13,win_loss_emotion,neutral,1
2024-10-14,trust_payouts,neutral,1
2024-10-15,support,neutral,1
2024-10-15,win_loss_emotion,neutral,1
2024-10-16,other,neutral,1
2024-10-17,other,neutral,1
2024-10-19,other,neutral,1
2024-10-19,trust_payouts,neutral,1
2024-10-19,trust_payouts,positive,1
2024-10-20,other,neutral,2
2024-10-20,win_loss_emotion,neutral,1
2024-10-21,other,neutral,2
2024-10-21,other,positive,1
2024-10-21,win_loss_emotion,neutral,1
2024-10-22,other,neutral,4
2024-10-23,other,neutral,2
2024-10-23,trust_payouts,negative,1
2024-10-24,other,neutral,1
2024-10-24,other,positive,1
2024-10-24,promos_bonuses,neutral,1
2024-10-25,promos_bonuses,neutral,1
2024-10-25,win_loss_emotion,neutral,1
2024-10-26,other,neutral,3
2024-10-26,other,positive,1
2024-10-26,support,neutral,1
2024-10-27,other,neutral,1
2024-10-28,win_loss_emotion,neutral,2
2024-10-29,other,neutral,3
2024-10-29,win_loss_emotion,neutral,1
2024-10-30,other,neutral,1
2024-10-30,win_loss_emotion,neutral,1
2024-11-01,other,neutral,1
2024-11-01,product_ux,neutral,1
2024-11-01,promos_bonuses,neutral,2
2024-11-01,trust_payouts,neutral,1
2024-11-02,other,neutral,3
2024-11-02,promos_bonuses,neutral,1
2024-11-03,other,neutral,1
2024-11-04,other,neutral,2
2024-11-05,other,neutral,1
2024-11-06,other,neutral,1
2024-11-07,other,neutral,2
2024-11-07,product_ux,neutral,1
2024-11-07,promos_bonuses,neutral,1
2024-11-07,win_loss_emotion,neutral,1
2024-11-09,other,neutral,1
2024-11-09,product_ux,neutral,1
2024-11-10,trust_payouts,negative,1
2024-11-12,promos_bonuses,neutral,1
2024-11-12,support,neutral,1
2024-11-16,other,neutral,2
2024-11-18,other,neutral,1
2024-11-18,trust_payouts,negative,1
2024-11-19,other,neutral,2
2024-11-19,other,positive,1
2024-11-19,product_ux,neutral,1
2024-11-19,win_loss_emotion,neutral,1
2024-11-20,other,neutral,3
2024-11-20,win_loss_emotion,neutral,1
2024-11-22,other,neutral,1
2024-11-23,other,neutral,4
2024-11-24,other,neutral,1
2024-11-26,win_loss_emotion,positive,1
2024-11-27,product_ux,neutral,1
2024-11-28,other,neutral,4
2024-11-29,other,neutral,1
2024-11-30,other,neutral,3
2024-11-30,other,positive,1
2024-11-30,win_loss_emotion,neutral,1
2024-12-01,other,neutral,1
2024-12-02,other,neutral,2
2024-12-03,other,neutral,1
2024-12-03,win_loss_emotion,neutral,1
2024-12-04,other,neutral,1
2024-12-04,trust_payouts,negative,1
2024-12-04,win_loss_emotion,neutral,2
2024-12-05,other,neutral,2
2024-12-05,product_ux,neutral,1
2024-12-06,other,neutral,7
2024-12-07,other,neutral,6
2024-12-07,win_loss_emotion,neutral,1
2024-12-08,other,neutral,4
2024-12-10,other,neutral,6
2024-12-11,other,neutral,3
2024-12-12,other,neutral,1
2024-12-12,win_loss_emotion,neutral,1
2024-12-13,other,neutral,1
2024-12-14,other,neutral,1
2024-12-14,win_loss_emotion,neutral,1
2024-12-15,other,neutral,2
2024-12-16,other,neutral,2
2024-12-17,other,neutral,1
2024-12-17,product_ux,neutral,1
2024-12-18,other,neutral,3
2024-12-18,product_ux,neutral,1
2024-12-19,other,neutral,6
2024-12-19,other,positive,1
2024-12-19,support,neutral,1
2024-12-19,win_loss_emotion,neutral,2
2024-12-20,other,neutral,4
2024-12-21,win_loss_emotion,neutral,1
2024-12-22,other,neutral,3
2024-12-23,other,neutral,4
2024-12-23,win_loss_emotion,neutral,1
2024-12-24,other,neutral,2
2024-12-25,other,neutral,4
2024-12-26,other,neutral,2
2024-12-27,other,neutral,2
2024-12-27,product_ux,neutral,1
2024-12-28,other,neutral,1
2024-12-29,other,neutral,1
2024-12-29,other,positive,1
2024-12-30,other,neutral,4
2024-12-30,other,positive,1
2024-12-31,other,neutral,1
2024-12-31,win_loss_emotion,neutral,1
2025-01-01,other,neutral,1
2025-01-01,other,positive,1
2025-01-01,product_ux,neutral,1
2025-01-01,win_loss_emotion,neutral,1
2025-01-02,other,neutral,5
2025-01-02,win_loss_emotion,neutral,1
2025-01-03,other,neutral,10
2025-01-03,other,positive,1
2025-01-03,promos_bonuses,neutral,1
2025-01-04,other,neutral,6
2025-01-04,win_loss_emotion,positive,1
2025-01-05,other,neutral,4
2025-01-06,other,neutral,2
2025-01-06,promos_bonuses,neutral,1
2025-01-07,other,neutral,6
2025-01-07,promos_bonuses,neutral,1
2025-01-07,win_loss_emotion,neutral,1
2025-01-08,other,neutral,6
2025-01-08,other,positive,2
2025-01-08,win_loss_emotion,neutral,1
2025-01-09,other,neutral,8
2025-01-09,other,positive,1
2025-01-09,product_ux,neutral,1
2025-01-09,promos_bonuses,neutral,1
2025-01-09,win_loss_emotion,neutral,1
2025-01-10,other,neutral,6
2025-01-10,other,positive,1
2025-01-10,win_loss_emotion,neutral,1
2025-01-11,other,neutral,7
2025-01-12,other,neutral,5
2025-01-12,other,positive,1
2025-01-13,other,neutral,14
2025-01-13,product_ux,neutral,1
2025-01-13,win_loss_emotion,neutral,1
2025-01-14,other,neutral,5
2025-01-14,product_ux,neutral,1
2025-01-14,trust_payouts,neutral,1
2025-01-14,win_loss_emotion,neutral,1
2025-01-15,other,neutral,14
2025-01-15,promos_bonuses,neutral,1
2025-01-15,support,negative,1
2025-01-15,trust_payouts,negative,1
2025-01-15,win_loss_emotion,neutral,2
2025-01-16,other,neutral,12
2025-01-16,promos_bonuses,neutral,1
2025-01-16,win_loss_emotion,neutral,2
2025-01-17,other,neutral,9
2025-01-17,win_loss_emotion,neutral,1
2025-01-18,other,neutral,11
2025-01-18,other,positive,1
2025-01-18,win_loss_emotion,neutral,1
2025-01-19,other,negative,1
2025-01-19,other,neutral,11
2025-01-19,product_ux,neutral,2
2025-01-19,promos_bonuses,neutral,1
2025-01-19,win_loss_emotion,neutral,2
2025-01-20,other,negative,1
2025-01-20,other,neutral,12
2025-01-20,win_loss_emotion,neutral,2
2025-01-21,other,neutral,8
2025-01-21,product_ux,neutral,2
2025-01-22,other,neutral,10
2025-01-23,other,neutral,7
2025-01-23,other,positive,1
2025-01-23,product_ux,neutral,1
2025-01-24,other,neutral,7
2025-01-24,product_ux,neutral,1
2025-01-25,other,neutral,4
2025-01-25,win_loss_emotion,neutral,1
2025-01-26,other,negative,1
2025-01-26,other,neutral,6
2025-01-27,other,neutral,3
2025-01-27,other,positive,1
2025-01-27,product_ux,neutral,1
2025-01-28,other,neutral,5
2025-01-28,other,positive,1
2025-01-29,other,neutral,9
2025-01-30,other,neutral,1
2025-01-30,promos_bonuses,neutral,1
2025-01-31,other,neutral,3
2025-02-01,other,neutral,4
2025-02-01,win_loss_emotion,neutral,1
2025-02-02,other,neutral,3
2025-02-03,other,neutral,4
2025-02-03,other,positive,1
2025-02-04,other,neutral,3
2025-02-05,other,neutral,4
2025-02-06,other,neutral,5
2025-02-06,other,positive,1
2025-02-08,other,neutral,2
2025-02-08,win_loss_emotion,neutral,1
2025-02-09,other,neutral,5
2025-02-09,win_loss_emotion,neutral,1
2025-02-10,win_loss_emotion,neutral,1
2025-02-11,other,neutral,3
2025-02-11,trust_payouts,negative,1
2025-02-11,win_loss_emotion,negative,1
2025-02-12,other,neutral,1
2025-02-13,other,neutral,1
2025-02-15,other,neutral,1
2025-02-16,other,neutral,2
2025-02-16,win_loss_emotion,neutral,1
2025-02-17,other,neutral,1
2025-02-17,other,positive,1
2025-02-18,product_ux,negative,1
2025-02-18,product_ux,neutral,1
2025-02-18,trust_payouts,negative,1
2025-02-19,other,neutral,2
2025-02-20,other,neutral,1
2025-02-21,other,neutral,4
2025-02-21,product_ux,neutral,1
2025-02-22,other,neutral,1
2025-02-22,product_ux,neutral,1
2025-02-23,other,neutral,3
2025-02-24,other,neutral,1
2025-02-24,other,positive,1
2025-02-26,other,neutral,1
2025-02-27,other,neutral,1
2025-02-27,win_loss_emotion,neutral,1
2025-02-28,win_loss_emotion,neutral,1
2025-03-02,trust_payouts,neutral,1
2025-03-02,win_loss_emotion,neutral,1
2025-03-04,other,neutral,1
2025-03-05,other,neutral,1
2025-03-05,win_loss_emotion,neutral,2
2025-03-06,other,neutral,1
2025-03-09,promos_bonuses,neutral,1
2025-03-10,other,neutral,1
2025-03-11,win_loss_emotion,neutral,1
2025-03-12,other,neutral,1
2025-03-14,other,neutral,14
2025-03-14,other,positive,2
2025-03-14,support,neutral,1
2025-03-14,win_loss_emotion,neutral,1
2025-03-15,other,neutral,7
2025-03-15,support,neutral,1
2025-03-15,trust_payouts,neutral,1
2025-03-16,other,neutral,10
2025-03-16,other,positive,2
2025-03-16,promos_bonuses,neutral,1
2025-03-17,other,neutral,14
2025-03-17,support,neutral,2
2025-03-17,trust_payouts,neutral,1
2025-03-17,win_loss_emotion,neutral,2
2025-03-18,other,neutral,5
2025-03-18,product_ux,neutral,1
2025-03-18,support,neutral,1
2025-03-18,win_loss_emotion,neutral,2
2025-03-19,other,neutral,5
2025-03-19,other,positive,1
2025-03-19,product_ux,neutral,1
2025-03-19,promos_bonuses,neutral,1
2025-03-19,support,neutral,1
2025-03-19,win_loss_emotion,neutral,1
2025-03-20,other,neutral,6
2025-03-20,other,positive,1
2025-03-20,promos_bonuses,neutral,1
2025-03-20,win_loss_emotion,neutral,1
2025-03-21,other,neutral,4
2025-03-21,promos_bonuses,neutral,1
2025-03-21,support,neutral,1
2025-03-21,win_loss_emotion,neutral,1
2025-03-22,other,neutral,3
2025-03-22,support,neutral,1
2025-03-22,win_loss_emotion,neutral,1
2025-03-23,other,neutral,4
2025-03-23,other,positive,1
2025-03-23,promos_bonuses,neutral,1
2025-03-24,other,neutral,4
2025-03-24,other,positive,1
2025-03-25,other,neutral,5
2025-03-25,win_loss_emotion,neutral,1
2025-03-26,other,neutral,3
2025-03-27,other,neutral,2
2025-03-27,support,neutral,1
2025-03-27,trust_payouts,neutral,2
2025-03-28,other,neutral,2
2025-03-28,other,positive,1
2025-03-28,support,positive,1
2025-03-28,win_loss_emotion,neutral,1
2025-03-29,other,neutral,7
2025-03-29,trust_payouts,neutral,1
2025-03-29,win_loss_emotion,positive,1
2025-03-30,other,neutral,6
2025-03-30,trust_payouts,neutral,1
2025-03-30,win_loss_emotion,neutral,1
2025-03-31,other,neutral,4
2025-04-01,promos_bonuses,neutral,1
2025-04-02,other,neutral,4
2025-04-02,product_ux,neutral,1
2025-04-02,win_loss_emotion,neutral,1
2025-04-03,other,neutral,3
2025-04-03,win_loss_emotion,positive,1
2025-04-04,other,negative,1
2025-04-04,other,neutral,2
2025-04-05,other,neutral,1
2025-04-05,promos_bonuses,neutral,1
2025-04-06,other,neutral,2
2025-04-06,other,positive,2
2025-04-06,trust_payouts,negative,1
2025-04-06,win_loss_emotion,neutral,1
2025-04-07,other,neutral,3
2025-04-07,promos_bonuses,neutral,1
2025-04-07,win_loss_emotion,neutral,3
2025-04-08,other,neutral,2
2025-04-09,other,neutral,9
2025-04-09,trust_payouts,neutral,1
2025-04-09,win_loss_emotion,neutral,1
2025-04-10,other,neutral,3
2025-04-11,other,neutral,2
2025-04-11,trust_payouts,neutral,1
2025-04-11,win_loss_emotion,neutral,3
2025-04-12,other,neutral,6
2025-04-13,other,neutral,3
2025-04-13,support,neutral,1
2025-04-14,other,neutral,3
2025-04-14,product_ux,neutral,1
2025-04-14,support,neutral,1
2025-04-14,win_loss_emotion,neutral,1
2025-04-15,other,neutral,3
2025-04-15,other,positive,1
2025-04-15,promos_bonuses,neutral,1
2025-04-15,promos_bonuses,positive,1
2025-04-15,win_loss_emotion,positive,1
2025-04-16,other,neutral,1
2025-04-16,win_loss_emotion,neutral,2
2025-04-17,other,positive,1
2025-04-19,other,neutral,2
2025-04-19,other,positive,1
2025-04-19,trust_payouts,neutral,1
2025-04-19,win_loss_emotion,neutral,2
2025-04-20,other,neutral,1
2025-04-20,win_loss_emotion,neutral,2
2025-04-21,other,neutral,2
2025-04-21,other,positive,1
2025-04-21,trust_payouts,positive,1
2025-04-22,other,neutral,5
2025-04-22,product_ux,neutral,1
2025-04-22,promos_bonuses,neutral,1
2025-04-23,other,neutral,2
2025-04-23,other,positive,1
2025-04-24,other,neutral,3
2025-04-24,promos_bonuses,neutral,1
2025-04-24,support,neutral,1
2025-04-24,win_loss_emotion,neutral,1
2025-04-26,win_loss_emotion,neutral,1
2025-04-27,other,neutral,4
2025-04-28,other,neutral,1
2025-04-28,other,positive,1
2025-04-28,win_loss_emotion,neutral,1
2025-04-29,other,neutral,1
2025-04-30,other,neutral,3
2025-04-30,other,positive,1
2025-04-30,win_loss_emotion,positive,1
2025-05-01,other,neutral,2
2025-05-01,other,positive,1
2025-05-01,promos_bonuses,negative,1
2025-05-01,trust_payouts,negative,1
2025-05-01,trust_payouts,neutral,1
2025-05-02,other,neutral,2
2025-05-04,other,neutral,4
2025-05-04,win_loss_emotion,neutral,1
2025-05-05,other,neutral,3
2025-05-05,trust_payouts,negative,1
2025-05-05,win_loss_emotion,negative,1
2025-05-05,win_loss_emotion,neutral,1
2025-05-06,other,neutral,2
2025-05-06,other,positive,1
2025-05-07,other,neutral,2
2025-05-07,product_ux,neutral,1
2025-05-07,promos_bonuses,neutral,1
2025-05-07,support,neutral,1
2025-05-07,win_loss_emotion,neutral,1
2025-05-08,other,neutral,3
2025-05-08,promos_bonuses,neutral,1
2025-05-08,support,neutral,1
2025-05-08,win_loss_emotion,neutral,1
2025-05-09,other,neutral,1
2025-05-10,other,neutral,2
2025-05-11,other,neutral,1
2025-05-12,other,neutral,1
2025-05-12,product_ux,neutral,1
2025-05-12,trust_payouts,neutral,1
2025-05-13,other,neutral,1
2025-05-14,other,neutral,1
2025-05-14,other,positive,1
2025-05-14,win_loss_emotion,neutral,1
2025-05-15,other,negative,1
2025-05-15,other,neutral,2
2025-05-15,promos_bonuses,neutral,1
2025-05-16,other,neutral,1
2025-05-17,other,neutral,1
2025-05-17,product_ux,positive,1
2025-05-17,win_loss_emotion,neutral,1
2025-05-19,other,neutral,1
2025-05-20,promos_bonuses,neutral,1
2025-05-21,other,neutral,1
2025-05-22,other,neutral,1
2025-05-22,promos_bonuses,neutral,1
2025-05-22,trust_payouts,neutral,1
2025-05-22,win_loss_emotion,neutral,1
